"GrupoEdad","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040"
"0 a 9",0.144735541305334,0.138357534055032,0.131238450353802,0.123999069741332,0.117346108248559,0.111203375688877,0.105479730938304,0.100710909028235,0.0974120979525478,0.0953198153451692,0.0940141132022047,0.0934366595762944,0.0933821597671767,0.0936434473299315,0.0941954475896704,0.0949799731407262,0.0958893561013027,0.0968320905190713,0.0977271470230026
"10 a 19",0.159987761289394,0.160403922910538,0.160980246467179,0.161453730086758,0.161423684855697,0.160920360435204,0.159693425806262,0.157247641391856,0.153370621658997,0.148366425241674,0.142774938678288,0.136549463401139,0.129597578398,0.122497353281019,0.115943715937623,0.109871100358829,0.10420353083533,0.0994761537253188,0.0962007164355115
"20 a 29",0.155411965242703,0.154993863176423,0.154828383026531,0.154860086311069,0.15478077542346,0.15464462871146,0.15483673693963,0.155342099006836,0.155907717608631,0.156501573964722,0.156943636320864,0.157425833927202,0.158065896170081,0.158572084179883,0.158544521591317,0.158020142932487,0.156771071707313,0.154326679160999,0.150492687267927
"30 a 39",0.145829144140577,0.14691598054306,0.147940305400598,0.148809826387501,0.149502198219938,0.150025748778939,0.150349006929548,0.150492729834667,0.150465075070293,0.150326789287983,0.150185627120949,0.150040044246172,0.150113009822388,0.150297474150187,0.150306118064631,0.150211364075138,0.150413557168497,0.150916897509962,0.151488980664188
"40 a 49",0.133166053903865,0.134733776626027,0.135896395952092,0.136796291934451,0.137452748945653,0.137843107287052,0.138061070039041,0.138336421328201,0.13888036914976,0.139725148728174,0.140826455890927,0.142057429098282,0.1432167511769,0.144168763002795,0.144899782277059,0.145429646858248,0.145746934532615,0.145887544934445,0.145872881229654
"50 a 59",0.0989167384243731,0.100668141500814,0.102761639016484,0.105269141863541,0.108194778160217,0.111534982402584,0.115156635446229,0.118707395906065,0.121843415259958,0.124448351895482,0.12654124342242,0.128151574589247,0.129373404019798,0.130316390624906,0.131002412825441,0.131417105875183,0.131662819744361,0.131966077439736,0.132534087343643
"60 a 69",0.0789396183799926,0.0796691304120342,0.0804884818266993,0.0813323351247366,0.0821820139193049,0.0830454899821704,0.0839539198987469,0.0849792635554826,0.0861914785109289,0.0876076146364279,0.0892018141505561,0.0909911614764876,0.0930623844237052,0.0954878099819189,0.0982739497141449,0.101419244600269,0.104808545902219,0.108125304548306,0.111062068375638
"70 a 79",0.0535794077711694,0.0545014026128877,0.0555231581670694,0.0564713489944984,0.0573291989306404,0.0581099027545532,0.0588275364183546,0.0595410814649845,0.0603285241358059,0.0611715694173895,0.0620410202569652,0.0629358289331438,0.0638227749858554,0.0646891990859853,0.0655443637080748,0.066398276972682,0.0672845418755982,0.0682722364847164,0.069427999039275
"80 a 89",0.0238697340289151,0.0240299670696156,0.0244625132146753,0.0250159645684237,0.0256785247960862,0.0264456622767077,0.027301131723418,0.0281853381362414,0.0290185416692472,0.0298098673515405,0.0305735287145275,0.0313101266576158,0.0320445847017112,0.0327540971192848,0.0334217976672433,0.0340556437384847,0.0346656699493531,0.0352820714925753,0.0359417399241943
"90 y más",0.0055640355136759,0.00572628109356764,0.00588042657486998,0.0059922049876886,0.00610996850044488,0.00622674168245253,0.00634080586046636,0.00645712034743279,0.00658215898383012,0.00672284413143823,0.0068976222422985,0.00710187809441643,0.00732145653438444,0.00757338124408993,0.00786789062479475,0.00819750144795411,0.00855397218341141,0.00891494418486958,0.0092516926969661
