"GrupoEdad","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040"
"0 a 9",6677458,6394119,6076569,5751957,5452685,5175413,4916361,4700883,4553469,4462327,4408015,4387954,4392629,4412359,4445972,4490701,4541397,4593628,4643419
"10 a 19",7381128,7412981,7453666,7489370,7500824,7489245,7443236,7339848,7169216,6945665,6694251,6412609,6096176,5771918,5472478,5194761,4935163,4719060,4570892
"20 a 29",7170021,7162958,7168824,7183510,7192150,7197172,7216868,7250903,7287811,7326506,7358575,7393001,7435305,7471713,7483212,7471272,7424804,7321120,7150527
"30 a 39",6727912,6789643,6849894,6902856,6946872,6982209,7007697,7024549,7033398,7037438,7041714,7046151,7061207,7081824,7094364,7102069,7123707,7159363,7197865
"40 a 49",6143693,6226649,6292240,6345583,6386974,6415228,6434962,6457129,6491878,6541130,6602893,6671273,6736812,6793047,6839188,6875987,6902692,6920775,6931021
"50 a 59",4563581,4652324,4758043,4883130,5027453,5190846,5367397,5540905,5695496,5825958,5933106,6018229,6085631,6140341,6183240,6213467,6235657,6260353,6297240
"60 a 69",3641925,3681866,3726757,3772771,3818726,3864943,3913053,3966577,4028968,4101286,4182382,4273109,4377587,4499263,4638475,4795153,4963817,5129368,5277016
"70 a 79",2471917,2518753,2570819,2619542,2663898,2704439,2741924,2779199,2820020,2863702,2908901,2955580,3002177,3048072,3093657,3139344,3186650,3238774,3298810
"80 a 89",1101244,1110532,1132657,1160418,1193196,1230783,1272493,1315607,1356454,1395527,1433493,1470380,1507354,1543331,1577490,1610168,1641794,1673750,1707740
"90 y más",256700,264637,272274,277961,283910,289793,295542,301399,307679,314725,323407,333517,344396,356848,371360,387582,405123,422917,439586
